"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","261","Should delete product from cart","","Tue Jun 10 21:01:58 CEST 2025","passed","Tue Jun 10 21:01:58 CEST 2025","","E2E - Product and Cart","",""
"","4706","Should type search phrase and click search button","","Tue Jun 10 21:01:46 CEST 2025","passed","Tue Jun 10 21:01:51 CEST 2025","","E2E - Product and Cart","",""
"","4300","Should click on third product","","Tue Jun 10 21:01:51 CEST 2025","passed","Tue Jun 10 21:01:55 CEST 2025","","E2E - Product and Cart","",""
"","1753","Should click on see all button","","Tue Jun 10 21:01:34 CEST 2025","passed","Tue Jun 10 21:01:36 CEST 2025","","E2E - SearchBar","",""
"","2532","Should open helion home page and verify url and visible search bar","","Tue Jun 10 21:01:27 CEST 2025","passed","Tue Jun 10 21:01:30 CEST 2025","","E2E - SearchBar","",""
"","167","Should clear input value","","Tue Jun 10 21:01:36 CEST 2025","passed","Tue Jun 10 21:01:36 CEST 2025","","E2E - SearchBar","",""
"","1749","Should clear input and click on search button","","Tue Jun 10 21:01:37 CEST 2025","passed","Tue Jun 10 21:01:39 CEST 2025","","E2E - SearchBar","",""
"","78","Should verify correctly title and number of products","","Tue Jun 10 21:01:36 CEST 2025","passed","Tue Jun 10 21:01:36 CEST 2025","","E2E - SearchBar","",""
"","179","Should type search value and verify visible popup","","Tue Jun 10 21:01:34 CEST 2025","passed","Tue Jun 10 21:01:34 CEST 2025","","E2E - SearchBar","",""
"","4005","Should click on search button and verify url","","Tue Jun 10 21:01:30 CEST 2025","passed","Tue Jun 10 21:01:34 CEST 2025","","E2E - SearchBar","",""
"","2852","Should click on add to cart button","","Tue Jun 10 21:01:55 CEST 2025","passed","Tue Jun 10 21:01:58 CEST 2025","","E2E - Product and Cart","",""
"","1014","Should type incorrect name and verify alert","","Tue Jun 10 21:01:36 CEST 2025","passed","Tue Jun 10 21:01:37 CEST 2025","","E2E - SearchBar","",""
